Title,Company,Company_ratings,Skills,Experience,City,Salary,Post_date
Data Analyst,Nisum,2.9,People AnalyticsPower BiCustomer AnalyticsData AnalyticsSQLData AnalysisAnalyticsAnalysis,3-6 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,2coms,3.2,Data ScienceArtificial IntelligenceTime Series AnalysisTime SeriesMachine LearningPythonMlAnalysis,3-5 Yrs,"Hyderabad, Bengaluru",,3+ weeks ago
Tableau Developer/Data Engineer,Evnek,4.3,hiveclouderapythondata analysisscalabig data analyticsdata warehousingpyspark,4-7 Yrs,Hyderabad/Secunderabad,,3 weeks ago
Specialist IS Data Scientist - Finance,Awone,4.3,financepythonnatural language processingscalaforecastingaidatabricksdata warehousing,10-15 Yrs,Hyderabad,,3 weeks ago
Data Scientist - Machine Learning/APICS,Apollo TeleHealth,3.9,Machine LearningData ScienceRAPICSNLPArtificial IntelligenceData ManagementPython,5-10 Yrs,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",,2 weeks ago
Hiring Machine Learning Engineer,Spotmies,5,Machine LearningDeep LearningMLOpsPythonBigQueryArtificial IntelligenceGitHub/GitLabNatural Language Processing,7-10 Yrs,Hyderabad,,3+ weeks ago
Data & AI Engineer,Amgen Inc,2.7,continuous integrationcdalgorithmspythonvertexci/cddata engineeringartificial intelligence,6-11 Yrs,"Hyderabad, Chennai, Bengaluru",,1 week ago
AIML Engineer For Top MNC,Palni,3.7,TensorflowPytorchAWSMachine LearningPythonPandasData AnalyticsScikit-Learn,6-10 Yrs,"Hybrid - Hyderabad, Pune, Bengaluru",,1 week ago
Associate Director - Machine Learning Engineer,Inspira Enterprise India,3.6,machine learningkubernetessqlmicroservicesdockerdata sciencesparkapache spark,1-3 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Firstsource,3.5,Data ScienceRArtificial IntelligenceNatural Language ProcessingRAGAlgen AIMachine Learning,2-3 Yrs,Hyderabad(Gachibowli),,1 week ago
Sr ML Engineer,Accenture,3.7,Machine LearningPythonData ScienceXgboostArtificial IntelligenceClassificationFast ApiTime Series,0-1 Yrs,Hyderabad,,5 days ago
Data Scientist-Artificial Intelligence,Ahead,3.4,Artificial IntelligenceNatural Language ProcessingMachine LearningMl AlgorithmsMlcppythonllmTF,4-9 Yrs,Hyderabad,,1 week ago
Gen AI - Deep Learning Engineer,Accenture,3.7,TensorflowGenerative AiNatural Language ProcessingPytorchLarge Language ModelTool Calling PatternsVertexCrewai,3-7 Yrs,Hyderabad,,3 weeks ago
Data Analyst - Invoice 360,Capgemini,3.7,Power BIAdvanced MS ExcelTableauData Analyticspythondata analysisdata validationmathematics,2-5 Yrs,Hyderabad,,3+ weeks ago
Opportunity For Business Analyst,Jade Global,3.4,Power BiAdvanced ExcelSQLData VisualizationPythonGoogle SheetsAnalytical AbilityData Sets,2-4 Yrs,Hyderabad,,1 week ago
Entry-level Machine Learning Engineer,Hanker Systems (india),3.9,Machine LearningML Algorithmsdata scienceAI DevelopmentData Science PrototypesAIMachine Learning Systems DesignData Representation Techniques,3-8 Yrs,Hyderabad,,3 weeks ago
GTM Data Analyst,CGI,4,operational supporttableauCodingsales enablementData analyticsdata visualizationJIRADownstream,3-7 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Binance,3.6,compliancepythonnatural language processingmachine learning frameworksdata platformshealthcare complianceaidatabricks,2-7 Yrs,Hyderabad,,3+ weeks ago
Data Scientist - Gen AI,Amgen Inc,2.7,Supply chainComputer scienceCloud computingComputer visionGCPAnalyticalMachine learningForecasting,6-11 Yrs,Hyderabad,,2 weeks ago
Data Engineer,Accenture,3.7,data analyticsdata engineeringetldata integrationetl processhivepythondata analysis,5-10 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,2 weeks ago
Data Scientist,Accenture,3.7,Data ScientistAirflowTensorflowAzureRegressionClusteringForecastingMachine Learning,3-6 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Accenture,3.7,AutomationProduct engineeringPrototypeAnalyticalArtificial IntelligenceMachine learningHealthcareData quality,3-8 Yrs,Hyderabad,,1 week ago
Audio Machine Learning Research Engineer,Accenture,3.7,machine learningalgorithmsaioperating systemsresearchiotrtensorflow,7-11 Yrs,Hyderabad,,1 week ago
Artificial Intelligence and Machine Learning Engineer III,Pega,3.6,AutomationArtificial IntelligenceMachine learningEngineering ManagerData processingOpen sourceAnalyticsPython,5-10 Yrs,Hybrid - Hyderabad,,3+ weeks ago
Data Scientist,Accenture,3.7,data scienceArtificial IntelligenceMachine learningCloudDeploymentMachineDataIntelligence,5-10 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",,3+ weeks ago
Data Engineer (GDC),Supplycopia Software Services,2.9,hivepythondata analysisdata analyticsscaladata warehousingmicrosoft azurepyspark,5-9 Yrs,"Hybrid - Hyderabad, Pune, Bengaluru",,2 days ago
Data Engineer,Tezo,3.5,data engineerpythondata analyticsdata pipelinesscaladatabricksdata warehousingcloud platforms,8-13 Yrs,Hyderabad,,1 week ago
Data Engineer,Accenture,3.7,Pythonaws bedrockdata analysisedadata pipelinesapi integrationgenerative aiibm cloud,6-11 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",,1 week ago
Machine Learning Engineer,Dtcc,3.9,Machine LearningData SciencePythonTensorflowmlopsIntegrationArtificial IntelligenceHadoop,0-1 Yrs,Hyderabad,,3+ weeks ago
GEN AI Data Scientist,Prudent Globaltech Solutions,4.1,Data ScienceGen AINatural Language ProcessingMachine LearningPythonAWSMlGen,0-3 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,IntraEdge Technology,3.9,Agentic AiCeleryArtificial IntelligenceRedisMachine LearningNatural Language ProcessingFast ApiPython,3-5 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Nisc Export Services,3.4,BPORFImage processingStaffingPharmaArtificial IntelligenceConsultingMachine learning,2-5 Yrs,Hyderabad,,2 days ago
Terraform Engineer,Wipro,3.6,Generative AiTerraformServicenowAnsibleChef PuppetDynatracePuppetArtificial Intelligence,1-4 Yrs,"Hyderabad, Kochi, Kolkata, Kannur, Indore, Nagpur, Pune, Lucknow, Kozhikode, Coimbatore, Bengaluru, Thiruvananthapuram",,3+ weeks ago
Data Analyst,Wipro,3.6,PandasNumpyPythonPower BiData AnalyticsStatistical techniquesAnalyticsBi,0-5 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,3+ weeks ago
"Business Analyst, Trust and Safety, YouTube",Wipro,3.6,pythonproject managementdata analysisdata analyticsmodelingsasbusiness analysisprocess optimization,3-5 Yrs,"Hyderabad, Mumbai, New Delhi, Chennai, Bengaluru",,3+ weeks ago
Data Analyst,Kanerika Software,4.3,RCARoot cause analysisAnalyticalSocial mediaData analyticsdata visualizationAnalyticsSQL,3-6 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,3+ weeks ago
Data Analyst,Epsoft Technologies,4,metadatapythondata analysisdata managementdata analyticsdata validationconfigurationdata mining,2-4 Yrs,Hyderabad,,3+ weeks ago
Data Analyst,Accenture,3.7,database maintenancepythondata analyticsdata analysisdesign developmentinformation managementmathematicsdata mining,5-7 Yrs,"Hyderabad, Pune, Gurugram, Bengaluru",,3+ weeks ago
Data Verification Analyst,Accenture,3.7,metadatapythondata analysisdata managementdata analyticsdata validationconfigurationdata mining,3-8 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",,3+ weeks ago
Data Analyst,Zensar,3.7,master datametadatapythondata analysisdata managementdata analyticsdata validationconfiguration,2-6 Yrs,"Hyderabad, Chennai, Bengaluru",,3+ weeks ago
Data Analyst,Accenture,3.7,metadatapythondata analysisdata managementdata analyticsdata validationconfigurationdata mining,8-10 Yrs,"Hyderabad, Noida, Chennai",,2 weeks ago
Data Scientist,Accenture,3.7,data scientistpythonrestfulaidatabricksllmartificial intelligencedata cleansing,4-8 Yrs,"Hyderabad, Chennai, Bengaluru",,3+ weeks ago
Data Analyst with Hadoop,Accenture,3.7,metadatapythondata analysisdata managementdata analyticsdata validationconfigurationdata mining,7-12 Yrs,Hyderabad,,1 week ago
AI Engineer - Data and AI,Accenture,3.7,Generative AiArtificial IntelligenceAI EngineerMachine LearningAI/ML engineerTensorflowNatural Language ProcessingLLM,5-10 Yrs,"Hyderabad, Mumbai (All Areas)",,3+ weeks ago
Machine Learning Engineer,Accenture,3.7,Artificial IntelligenceAws SagemakerMachine Learning AlgorithmsMachine LearningMl PipelinesTensorflowPytorchMl Deployment,5-10 Yrs,"Hybrid - Hyderabad, Pune, Gurugram, Chennai, Bengaluru, Mumbai (All Areas)",,1 week ago
Data Analyst,Infosys,3.5,Power BiData AnalysisAlteryxSCALATableauData AnalyticsPythonAnalytics,5-10 Yrs,"Hyderabad, Pune, Bengaluru",,3 weeks ago
Data Science Engineer,Wallero Technologies,3.6,Data ScienceGCPArtificial IntelligenceMachine LearningDeep LearninghyperscalerDataMachine,8-13 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",,5 days ago
Data Engineer,Align Technology,2.6,data engineerdata pipelinesdata validationaienterprise applicationsdata catalogingllmelt,16-20 Yrs,Hyderabad,,2 weeks ago
Data Analyst,IntouchCX,2.7,Power BiTableauData AnalyticsSQLAnalyticsData analysisDataBi,3-4 Yrs,Hyderabad,,2 days ago
AI/ Machine Learning Engineers/ Leads/ Architects/ Mngrs- Fortune 500,IntouchCX,2.7,Machine LearningMl EngineerGen AIAI MLNLPArtificial Intelligencecomputer visionML Architect,2-5 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,1 week ago
Data Scientist,Beejapuri Dairy,3.8,AimlAgent Enginecode deliveryCloud RunGCPVertex AiAdkBuild agents,2-5 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,1 week ago
Data Scientist,Metmox,2.8,Agentic AiAdkGoogle Cloud PlatformsDataGoogleCloud PlatformCloud PlatformsArtificial Intelligence,2-5 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,2 weeks ago
MLOPS Engineer,Amgen Inc,2.7,studiokubernetescontinuous integrationakspysparkaws codedeployartificial intelligencecloud,1-5 Yrs,Hyderabad,,3+ weeks ago
Machine Learning Engineer,Apple,4.3,Computer scienceHealth insuranceArtificial IntelligenceMachine learningHypothesis TestingData qualitydata visualizationOpen source,2-6 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,3+ weeks ago
Machine Learning Engineer,Qualcomm,3.7,machine learning algorithmsmachine learningawsmongodbartificial intelligencecommunication skillsmlMachine,2-6 Yrs,Hyderabad,,3+ weeks ago
Machine Learning Engineer,Align Technology,2.6,machine learning algorithmsmachine learningawsmongodbartificial intelligencecommunication skillsmlMachine,5-9 Yrs,Hyderabad,,3+ weeks ago
Machine Learning Engineer,Amgen Inc,2.7,machine learning algorithmsmachine learningawsmongodbartificial intelligencecommunication skillsmlMachine,7-12 Yrs,Hyderabad,,3+ weeks ago
Machine Learning Engineer III,Bizacuity Solutions,2.8,Stakeholder EngagementVersion controlFinanceMachine learningManager TechnologyData analyticsPrivate equityMachine,3-6 Yrs,Hyderabad,,3+ weeks ago
Machine Learning Engineer (Speech) - AI,Datanimbus,3.1,Computer scienceASRLinuxTranscriptionEnterprise applicationsMachine learningAgileInformation retrieval,10-14 Yrs,Hyderabad,,6 days ago
Data Engineer - Delivery,Barry Callebaut,3.7,SQL queriesAutomationMaster data managementAnalyticalArtificial IntelligenceConsultingLife sciencesData warehousing,4-8 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,3+ weeks ago
Machine Learning Engineer (AI ML),Motivity Labs,3,Computer scienceComputer visionGITGCPNeural networksMachine learningPredictive modelingRevenue generation,10-15 Yrs,Hyderabad,,5 days ago
Expert Data Engineer,Capgemini,3.7,TrainingRoot cause analysisorchestrationData processingData analyticsManagementTroubleshootingmicrosoft,4-7 Yrs,Hyderabad,,2 weeks ago
Staff Machine Learning Engineer,Walking Tree,3.3,machine learningmlopspythonaidatabrickscloud platformsdata engineeringanalytics,5-8 Yrs,Hyderabad,,3+ weeks ago
Machine Learning Engineer,IDESLABS,3.7,Agentic AiAINatural Language ProcessingLLMMachine LearningMachineArtificial IntelligenceProcessing,7-12 Yrs,"Hybrid - Hyderabad, Noida, Bengaluru",,3+ weeks ago
AI and Machine Learning Engineer,Virtusa,3.7,modern tradesales managementmarketinglead generationdomestic salesbusiness developmentretail salessales,4-9 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,1 week ago
Azure Synapse Analyst,Omnicom Media Group,3.1,azuredata analyticsdata validationbig data analyticsdata warehousingazure data factorysqlanalytics,10-16 Yrs,Hyderabad,,3+ weeks ago
Principal Machine Learning Engineer,GD Research Center (GDRC),3.4,containerizationjavapresentation skillstroubleshootingaimlartificial intelligencecommunication skillsml,5-10 Yrs,Hybrid - Hyderabad,,1 week ago
Data Engineer,Infocredit Services,3.7,serversapdata analyticsdatadata miningmicrosoft azureazure data factorydata architecture,7-10 Yrs,"Hyderabad, India",,1 week ago
Gen AI- Data engineer,Amgen Inc,2.7,PysparkData EngineeringGenerative AiData BricksPythonSQLArtificial IntelligenceBricks,5-8 Yrs,Hyderabad,,3+ weeks ago
Machine Learning Engineer,ADQ Services,3.9,Computer scienceorchestrationAerospaceContract managementDjangoAnalyticalArtificial IntelligenceMachine learning,5-8 Yrs,Hyderabad,,5 days ago
Data Architecture Engineering Senior Professional,Amgen Inc,2.7,architectures3oracleoracle ebsdata pipelinesdata engineerairflowai,2-7 Yrs,Hyderabad,,1 week ago
AI Enable Data Engineer,Google,4.4,snowflakeAIData EngineerDataricksTeradataArtificial IntelligenceDataData Engineering,7-12 Yrs,"Hyderabad, Mumbai",,2 weeks ago
"Staff Engineer, Data Science",Amgen Inc,2.7,Data ScienceRMachine LearningPythonMLArtificial IntelligenceSQLIntelligence,2-4 Yrs,Hyderabad,,5 days ago
Business Analyst L4,Cornerstone,3.3,business analystdomain knowledgeaimarket researchroot cause analysissalesresearchqa,3-6 Yrs,"Hybrid - Hyderabad, Kolkata, Bengaluru",,5 days ago
Business Analyst L4,360DigiTMG,3.9,business analystdomain knowledgeaimarket researchroot cause analysissalesresearchqa,3-5 Yrs,Hyderabad,,3 weeks ago
Data Analyst,P99soft,4.5,Power BiServicenowTableauDashboardsData AnalyticsDataBiData analysis,3-5 Yrs,"Hyderabad, Bengaluru",,3 weeks ago
Rail Fleet Analyst,Cornerstone India,3.3,onboardingdata analysis toolsdata analyticssapdata analysisadministrationfleet operationslogistics,6-10 Yrs,Hybrid - Hyderabad,,3+ weeks ago
Data Scientist,Han Digital Solution,2.6,compliancemlopspythonrestfulaidatabrickscloud platformsllm,2-9 Yrs,Hyderabad,,3+ weeks ago
Data Scientists with AI and Generative Model experience,Algoleap Technologies,4.3,AI/MLData Scientistgenerative AI modelsPythonSQLAzureGCPAWS,2-5 Yrs,"Hyderabad, Tirupati, Bengaluru",,1 day ago
Machine Learning Engineer \/ Data Scientist,Pepsico,4,Computer scienceComputer visiondata scienceTime series analysisAnalyticalMachine learningHTMLNatural language processing,4-7 Yrs,Hyderabad,,3+ weeks ago
Data & AI Engineer,Foundever,3.4,Computer visionorchestrationAppliancesGCPEnterprise applicationsMachine learningCloudOpen source,6-8 Yrs,Hyderabad,,1 week ago
AI Business Analyst,Pepsico,4,RPAPDDSDDAgileBusiness analystPRDWaterfallprocess flow map creation,8-13 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Optum,4,data cleansingAutomationVersion controlGCPAnalyticalArtificial IntelligenceAgileData quality,9-15 Yrs,Hyderabad,,3+ weeks ago
Data Engineer and AI Specialist,Info Services,4,Global marketingnginxArtificial IntelligenceMachine learningDevelopment LeadData qualityNatural language processingData mining,2-7 Yrs,Hyderabad,,Today
Data Scientist,Tezo,3.5,Machine LearningRandom ForestSQLXgboostPythonTensorflowLogistic RegressionDecision Tree,5-10 Yrs,Hyderabad,,3+ weeks ago
Opening For Gen AI Engineer in Hyderabad location,Pronix It Solutions,3.9,Gen AILLMPythonMachine LearningMachineArtificial IntelligenceGen,8-13 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Shimento India,3.9,story writingdata analyticsdatadata sciencepresentation skillscommunication skillssqlPresentation,4-8 Yrs,Hyderabad,,3+ weeks ago
Data Scientist \u2013 Demand Forecasting,Tanla Platforms,3,Supply chaindata servicesDemand forecastingCustomer retentionProduct salesData analyticsApacheSQL,8-11 Yrs,"Hyderabad, Pune, Chennai",,3 weeks ago
Data Engineer,Veniso Solutions,1.8,data engineeriacsqlgcpdevopsjenkinsetlarchitecture,3-8 Yrs,Hyderabad,,2 weeks ago
Machine Learning & Generative AI Engineer,Vistan Nextgen,2.1,TrainingExcelMachine learningDesign developmentPackagingMedical insuranceMonitoringTeam building,2-5 Yrs,Hyderabad,,2 days ago
Data Scientist GenAI / Machine Learning / NLP,Syren Cloud Inc,3.7,continuous integrationkubernetesanalyticalscikit-learnnltkci/cdsqldocker,1-6 Yrs,Hyderabad,,2 weeks ago
AIML Engineers,Phenom People,3.6,Artificial IntelligenceMachine LearningPythonAimlMachineIntelligence,1-4 Yrs,Hyderabad,,3+ weeks ago
Data Engineer (Python + GenAI),Apptad,2.8,PythonGenAIAPI IntegrationData EngineeringLLMsCloud ServicesRAG PipelinesAPI Development,1-4 Yrs,Hyderabad,,1 week ago
Data Analyst / Data Scientist,Apptad,2.8,Computer scienceMarket analysisLogistic regressionData analysisOperational excellenceSASDebuggingData mining,1-3 Yrs,Hyderabad,,3+ weeks ago
Consultant,Virtusa,3.7,management consultingproject managementdata analysisdata analyticsbusiness analysisbusiness developmentbusiness analyticsmarket research,2-6 Yrs,"Hyderabad, Warangal, Nizamabad",,3+ weeks ago
Consultant,Accenture,3.7,management consultingproject managementdata analysisdata analyticsbusiness analysisbusiness developmentbusiness analyticsmarket research,6-10 Yrs,Remote,,3+ weeks ago
ML Engineer,Cloudangle It Solutions,2.2,Computer sciencedata scienceAnalyticalArtificial IntelligenceMachine learningDebuggingProgrammingData structures,3-7 Yrs,Hyderabad,,1 week ago
Data Engineer,Qentelli,3.8,data engineerconfluencescalasqlgitpostgresqlsparkuse cases,3-8 Yrs,Hyderabad,,1 week ago
GenAI Engineer,Applied Data Finance,4.2,LLMVector DatabaseRetrieval Augmented GenerationAWSPythonGenerative AiFast ApiAnthropic,4-9 Yrs,"Hyderabad, Gurugram",,3+ weeks ago
Consultant,GSPANN,4.1,management consultingproject managementdata analysisdata analyticsbusiness analysisbusiness developmentbusiness analyticsmarket research,3-7 Yrs,Hyderabad,,1 week ago
Data Science Engineer,Proclink,3.9,Data ScienceA/B TestingData AnalyticsSQLHypothesis TestingTableauPythonHypothesis,3-8 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Virtusa,3.7,data analysissqlit recruitmentrecruitmentc2hhead huntingscreeningpython,2-6 Yrs,"Hyderabad, Pune, Bengaluru",,2 weeks ago
Data Engineer,Primera Medical Technologies,3.6,pythondata analyticsdatabase designdata modelingdesign principleshivescaladata manipulation,4-12 Yrs,"Hyderabad, Pune, Bengaluru",,1 week ago
GenAI/Agent Engineer,Exponential Ai Software Services,4.9,llmpythonvector searchai frameworksaivpcvector databasessql,5-10 Yrs,Hyderabad,,3 weeks ago
Data Engineer - ETL/Python,Exponential Ai Software Services,4.9,Data EngineeringGISHiveGIS ApplicationsPySparkData ModelingData AnalyticsETL,5-10 Yrs,"Hyderabad, Chennai, Bengaluru",,1 week ago
Data Engineer,DAZN,2.5,data engineersnowflakedata warehousepythonetl toolsdata analyticsdata pipelinesdata processing,8-11 Yrs,"Hybrid - Hyderabad, Bengaluru",,3 weeks ago
Data Engineer(Python with Gen AI),Indium Software,4,data engineerchatbotpythongenerative aidesignaidata scientistartificial intelligence,4-8 Yrs,"Hyderabad, Pune, Bengaluru",,1 week ago
AL/ML Engineer,S&P Global Market Intelligence,4,Agentic AiLangchainAl/MLAlArtificial IntelligenceMl,4-9 Yrs,"Hyderabad, Pune, Bengaluru",,1 week ago
Data Scientist,VHL Technologies,4.5,data scientistpythondata analysisdata pipelinesmachine learningbusiness intelligencenosqlsql,3-5 Yrs,Hyderabad,,2 weeks ago
Data DevOps+MLOps + AI Engineer,Syren Cloud Inc,3.7,AIGenAIMLOpsCI/CD pipelinesRAGData DevOpsAWSCI Cd Pipeline,1-4 Yrs,Hyderabad,,5 days ago
Agentic Engineer,Pepsico,4,Agentic AiAiRetrieval Augmented GenerationArtificial IntelligenceGeneration,2-4 Yrs,Hyderabad,,2 weeks ago
GenAI Engineer,Regalix,2.8,Gen AILlama indexLangChainLLMPythonClassifiersTopic ModellingModeling,2-4 Yrs,Hyderabad,,3+ weeks ago
Data Engineer ( Agentic AI ),Safran Aircraft Engines,3.6,AgenticAiLangGraphAzureCrewAIDockerGCPLangChainData Engineer,2-4 Yrs,Hyderabad,,3 weeks ago
SAR Analyst - India,Wipro,3.6,UsageSARTime managementAnalyticalArtificial IntelligenceFinanceLegalGeneral Administrator,2-4 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Indium Software,4,data engineerresource managementdata pipelinesscalabusiness intelligencesqlgitdevops,2-4 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Wipro,3.6,data analyticshivepythonsql queriesdata manipulationdata warehousingpower bidata engineering,2-4 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Pepsico,4,data analyticshivepythondata managementscaladata manipulationpysparkdata engineering,3-8 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,3+ weeks ago
Data Engineer,Xmachines,5,pythondata analyticsdatabase designdata modelingdesign principleshivedata managementscala,2-5 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Quintessential Design,3.1,pythondata analyticsdatabase designdata modelingdesign principleshivedata managementscala,3-8 Yrs,Hyderabad,,3+ weeks ago
Demo Engineer,Xmachines,5,complianceinsurancecustomer serviceaijmeterartificial intelligencesalessales consultant,4-9 Yrs,"Hyderabad, Chennai, Bengaluru",,3+ weeks ago
Data Engineer,360DigiTMG,3.9,pythondata analyticsdatabase designdata modelingdesign principleshivescaladata manipulation,3-8 Yrs,Hyderabad,,3+ weeks ago
Data Scientist,Cynapto,4.5,algorithmspythondata analysismodelingnatural language processingneural networkspredictivemachine learning,4-6 Yrs,"Hyderabad, Chennai, Bengaluru",,3+ weeks ago
Data Engineer,Solenis,4.4,Product engineeringFocusCorporateManager TechnologyData analyticsInside salesdigital transformationData,3-7 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,3LOQ,3.5,AutomationArtificial Intelligencedata governanceData processingData qualitybig dataSQLPython,5-10 Yrs,Hyderabad,,3+ weeks ago
ML OPS Engineer,eSolutionsFirst,4,Artificial IntelligenceMachine LearningPythonOpsMachineIntelligenceMl,8-13 Yrs,Hyderabad,,3 weeks ago
Data Engineer,Launch It Consulting,3.4,data engineerdata operationspythonetl toolsdata analyticsdata pipelinesscaladatabricks,5-10 Yrs,Hybrid - Hyderabad,,3 weeks ago
MLOps Engineer,Algoleap Technologies,4.3,MLOps EngineerTensorflowPowershellMFLOWGithubOpenshiftPrometheusCi/Cd,7-12 Yrs,"Hybrid - Hyderabad, Bengaluru",,3+ weeks ago
Data Engineer,Tiger Analytics,3.7,HiveGISData EngineeringGIS ApplicationsPySparkData ModelingData AnalyticsETL,5-8 Yrs,Hyderabad,,3+ weeks ago
Observability Engineer,Wipro,3.6,observability Engineeringinsurancekubernetessnowflakepythonpredictive analyticsaipagerduty,2-5 Yrs,Hyderabad,,Today
Data Scientist,Accenture,3.7,pysparksqlsparkmlpythonmathematicsci/cdiot,2-7 Yrs,Hyderabad,,3+ weeks ago
GenAI Engineer,Heaps Health Solutions India,4,Generative Ainode.JSAngularJavaPOCAimlMicrosoft CopilotArtificial Intelligence,5-8 Yrs,Hyderabad,,1 week ago
Data Engineer + Gen Ai/f2f drive on 10th jan saturday,Bot Consulting,4.6,Data EngineeringGenerative AiRDBMSPythonDrivesEngineeringArtificial IntelligenceGen,5-8 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Apple,4.3,ETLData QualityData EngineeringSnowflake DBData ModelingData AnalyticsSQLData Integration,2-4 Yrs,Hyderabad,,Today
Data Analyst,Accenture,3.7,schemapythoncssdata analysisweb servicesxsdteachingsql server,3-8 Yrs,Hyderabad,,Few hours ago
Data Analyst,Forecastera India,3.8,data analystqcdata analysisoperationsquality controldata validationlookervisualization tools,5-10 Yrs,Hyderabad,,Few hours ago
Data Analyst L4,Accenture,3.7,data analystanalyticsautomationcdata validationdesignbusiness analyticsbigquery,3-8 Yrs,Hyderabad,,Few hours ago
Data Analyst L4,Bigtapp,3.2,data analyst119762analyticsautomationcdata validationdesignbusiness analytics,3-8 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Cornerstone,3.3,big data analyticsDataData analyticsData EngineeringBig DataAnalytics,4-7 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Digital Glyde,3.8,Solution architectureHealth insuranceISOData modelingFlexWellnessData analyticsmicrosoft,3-8 Yrs,Hyderabad,,Today
Data Analyst,Tech Stalwart Solution,3.8,Power BiData AnalysisExcelData VisualizationTableauQlikViewSQLPython,3-8 Yrs,Hyderabad,,3 weeks ago
Data Engineer,Indium Software,4,data engineerdata operationspythonetl toolsdata analyticsdata pipelinesscaladatabricks,3-8 Yrs,Hyderabad,,3 weeks ago
Data Engineer,Crayonsys,4.9,data engineerdata operationspythonetl toolsdata analyticsdata pipelinesscaladatabricks,3-8 Yrs,Hyderabad,,1 week ago
Data Scientist - GCH,B4b It Solutions,5,TrainingData analysisdata scienceMachine learningManagementAWSPythonScience,3-8 Yrs,Hyderabad,,3 weeks ago
Data Engineer,Tekone It Services,4.1,data engineerdata operationspythonetl toolsdata analyticsATCI-5285694-S1932304data pipelinesscala,5-10 Yrs,"Hybrid - Hyderabad, Pune, Bengaluru",,3 weeks ago
Data Engineer,Softbiz Solutions,5,data engineerATCI-5285702-S1932297data operationspythonetl toolsdata analyticsdata pipelinesscala,6-11 Yrs,Hyderabad,,3 weeks ago
Data Engineer,Tiger Analytics,3.7,data engineerdata operationspythonetl toolsATCI-5285697-S1932302data analyticsdata pipelinesscala,6-12 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,3 weeks ago
Data Engineer,Saras Analytics,3.7,data engineerdata operationspythonetl toolsdata analyticsdata pipelinesscaladatabricks,8-13 Yrs,Hyderabad,,3 weeks ago
Data Engineer,Acess Meditech,2.7,data engineerdata operationspythonetl toolsdata analyticsdata pipelinesscaladatabricks,8-13 Yrs,Hyderabad,,1 week ago
Data Scientist + Machine Learning (5-10 Years),Edgematics,3.9,Data ScienceMachine LearningNatural Language ProcessingDeep LearningPythonDataScienceMachine,2-3 Yrs,Hyderabad,,3+ weeks ago
Data Engineer,Netlink Software,3.2,Supply chainInterpersonal skillsCodingData analyticsSupervisionPythonInterpersonal SkillData Engineering,0-3 Yrs,Hyderabad,,3+ weeks ago
Data Engineer - Python/SQL,Grid Dynamics,3,Data modelingsparkDeltaCloudData analyticsCosmosSQL Azurebig data,2-5 Yrs,Hybrid - Hyderabad,,3+ weeks ago
Data Engineer,Kashsam Data Solutions,5,microsoft azure iaassql queriesdata analyticsaws iamsolution deliverymicrosoft azureprogrammingopencommunication skills,2-6 Yrs,Hyderabad,,3+ weeks ago
